Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
SS18,0.84363,0.07861,0.72638,0.01865,2.11222
SRRT,0.84355,0.0452,0.65001,0.00526,4.87522
SLC3A2,0.84348,0.06208,0.70675,0,4.69454
ABT1,0.84321,0.04391,0.69575,0.00592,4.61728
WAPAL,0.84288,0.06629,0.70311,0.00394,4.22225
EIF3M,0.84279,0.09185,0.42935,0.00065,4.73409
METAP2,0.84248,0.10149,0.53645,0,4.41332
NCBP2,0.84213,0.01221,0.73618,0.00065,4.99212
C1ORF43,0.84202,0.07591,0.60941,0.01798,3.93091
UBQLN1,0.84137,0.03878,0.71105,0.00197,4.85419
TTC1,0.84057,0.0494,0.66323,0.00394,4.8907
CDC42,0.84055,0.00931,0.76876,0,4.89484
TFAM,0.84049,0.09388,0.53966,0,4.67378
PRPF6,0.84047,0.068,0.75029,0.01325,3.16355
DDX6,0.84024,0.05178,0.72309,0.00394,4.48515
SEC13,0.84011,0.04606,0.65915,0.0046,4.93461
MPHOSPH10,0.84003,0.06932,0.69378,0.00658,4.12342
BDP1,0.83979,0.04628,0.7882,0.01527,3.22031
FUBP1,0.83953,0.0237,0.71386,0.00065,5.14263
Sep-15,0.83936,0.10503,0.56362,0.00065,4.14542
DDX56,0.83902,0.05916,0.64982,0.00197,4.92794
PAFAH1B1,0.83868,0.05607,0.70661,0.00991,4.28117
UBE2T,0.83844,0.06673,0.64512,0.00725,4.53571
SELK,0.83835,0.03061,0.69094,0.00526,4.93766
TUBB4B,0.83815,0,0.83491,0,4.30102
PET100,0.83814,0.05034,0.68003,0.01058,4.56788
PDCD10,0.83796,0.08203,0.68154,0.00526,3.92624
RANBP3,0.83796,0.07131,0.71865,0.03381,2.25126
MRPS18B,0.83768,0.06243,0.57422,0.0046,5.04569
WDR74,0.83766,0.05666,0.59483,0.00262,5.19671
SRP72,0.83749,0.08202,0.55787,0.00065,4.89635
LLPH,0.83744,0.04274,0.66534,0.00858,4.8523
PAF1,0.83734,0.05164,0.74964,0.01258,3.92851
KLHDC3,0.8372,0.07264,0.68174,0.01258,3.93169
CSNK2A1,0.83695,0.06053,0.6062,0.0046,4.98688
RPA2,0.83648,0.08292,0.63276,0.00858,4.0996
RBM18,0.83625,0.07764,0.68615,0.02549,3.05836
RBM22,0.83586,0.09244,0.60656,0.01258,3.70061
TRAPPC1,0.8355,0.06484,0.71618,0.01527,3.86327
GAPVD1,0.83509,0.06855,0.67965,0.01595,4.02378
